file;file_emotion;file_emotion_level;file_gender;file_id;file_duration;size_w;size_h;Benedetta
stimoli/02.subtle/JF1_Fear.wmv;fear;subtle;femmina;5;10;1646;926;2 cm
stimoli/02.subtle/JF2_Fear.wmv;fear;subtle;femmina;6;10;1646;926;1,9 cm
stimoli/02.subtle/JM1_Fear.wmv;fear;;maschio;7;10;1646;926;1,7 cm
stimoli/02.subtle/JM2_Fear.wmv;fear;subtle;maschio;8;10;1646;926;1,7 cm
stimoli/02.subtle/JF1_Anger.wmv;angry;subtle;femmina;5;10;1646;926;1,8 cm
stimoli/02.subtle/JF2_Anger.wmv;angry;subtle;femmina;6;9;1646;926;1,9 cm
stimoli/02.subtle/JM1_Anger.wmv;angry;subtle;maschio;7;10;1646;926;1,7 cm
stimoli/02.subtle/JM2_Anger.wmv;angry;subtle;maschio;8;10;1646;926;1,8 cm
stimoli/02.subtle/JF1_Disgust.wmv;disgusted;subtle;femmina;5;10;1646;926;2 cm
stimoli/02.subtle/JF2_Disgust.wmv;disgusted;subtle;femmina;6;10;1646;926;1,8 cm
stimoli/02.subtle/JM1_Disgust.wmv;disgusted;subtle;maschio;7;10;1646;926;1,7 cm
stimoli/02.subtle/JM2_Disgust.wmv;disgusted;subtle;maschio;8;10;1646;926;1,8 cm
stimoli/02.subtle/JF1_Happiness.wmv;happy;subtle;femmina;5;10;1646;926;2 cm
stimoli/02.subtle/JF2_Happiness.wmv;happy;subtle;femmina;6;9;1646;926;1,9 cm
stimoli/02.subtle/JM1_Happiness.wmv;happy;subtle;maschio;7;10;1646;926;1,6 cm
stimoli/02.subtle/JM2_Happiness.wmv;happy;subtle;maschio;8;10;1646;926;1,7 cm
stimoli/02.subtle/JF1_Sadness.wmv;sad;subtle;femmina;5;10;1646;926;1,9 cm
stimoli/02.subtle/JF2_Sadness.wmv;sad;subtle;femmina;6;8;1646;926;1,9 cm
stimoli/02.subtle/JM1_Sadness.wmv;sad;subtle;maschio;7;10;1646;926;1,7 cm
stimoli/02.subtle/JM2_Sadness.wmv;sad;subtle;maschio;8;10;1646;926;1,7 cm
stimoli/02.subtle/JF1_Surprise.wmv;surprised;subtle;femmina;5;10;1646;926;2,1 cm
stimoli/02.subtle/JF2_Surprise.wmv;surprised;subtle;femmina;6;10;1646;926;1,8 cm
stimoli/02.subtle/JM1_Surprise.wmv;surprised;subtle;maschio;7;10;1646;926;1,6 cm
stimoli/02.subtle/JM2_Surprise.wmv;surprised;subtle;maschio;8;10;1646;926;1,7 cm
stimoli/02.subtle/JF1_Neutral.wmv;neutral;subtle;femmina;5;10;1646;926;1,8 cm
stimoli/02.subtle/JF2_Neutral.wmv;neutral;subtle;femmina;6;9;1646;926;1,8 cm
stimoli/02.subtle/JM1_Neutral.wmv;neutral;subtle;maschio;7;10;1646;926;1,6 cm
stimoli/02.subtle/JM2_Neutral.wmv;neutral;subtle;maschio;8;10;1646;926;1,6 cm
stimoli/01.full/F01-Fear-Face Forward.wmv;fear;full;femmina;1;6;720;576;1,6 cm
stimoli/01.full/F03-Fear-Face Forward.wmv;fear;full;femmina;2;6;720;576;1,6 cm
stimoli/01.full/M02-Fear-Face Forward.wmv;fear;full;maschio;3;6;720;576;1,5 cm
stimoli/01.full/M03-Fear-Face Forward.wmv;fear;full;maschio;4;6;720;576;1,7 cm
stimoli/01.full/F01-Anger-Face Forward.wmv;angry;full;femmina;1;6;720;576;1,6 cm
stimoli/01.full/F03-Anger-Face Forward.wmv;angry;full;femmina;2;6;720;576;1,6 cm
stimoli/01.full/M02-Anger-Face Forward.wmv;angry;full;maschio;3;6;720;576;1,6 cm
stimoli/01.full/M03-Anger-Face Forward.wmv;angry;full;maschio;4;6;720;576;1,7 cm
stimoli/01.full/F01-Disgust-Face Forward.wmv;disgusted;full;femmina;1;6;720;576;1,6 cm
stimoli/01.full/F03-Disgust-Face Forward.wmv;disgusted;full;femmina;2;6;720;576;1,6 cm
stimoli/01.full/M02-Disgust-Face Forward.wmv;disgusted;full;maschio;3;6;720;576;1,6 cm
stimoli/01.full/M03-Disgust-Face Forward.wmv;disgusted;full;maschio;4;6;720;576;1,8 cm
stimoli/01.full/F01-Joy-Face Forward.wmv;happy;full;femmina;1;6;720;576;1,6 cm
stimoli/01.full/F03-Joy-Face Forward.wmv;happy;full;femmina;2;6;720;576;1,6 cm
stimoli/01.full/M02-Joy-Face Forward.wmv;happy;full;maschio;3;6;720;576;1,6 cm
stimoli/01.full/M03-Joy-Face Forward.wmv;happy;full;maschio;4;6;720;576;1,8 cm
stimoli/01.full/F01-Sadness-Face Forward.wmv;sad;full;femmina;1;6;720;576;1,6 cm
stimoli/01.full/F03-Sadness-Face Forward.wmv;sad;full;femmina;2;6;720;576;1,5 cm
stimoli/01.full/M02-Sadness-Face Forward.wmv;sad;full;maschio;3;6;720;576;1,5 cm
stimoli/01.full/M03-Sadness-Face Forward.wmv;sad;full;maschio;4;6;720;576;1,7 cm
stimoli/01.full/F01-Surprise-Face Forward.wmv;surprised;full;femmina;1;6;720;576;1,6 cm
stimoli/01.full/F03-Surprise-Face Forward.wmv;surprised;full;femmina;2;6;720;576;1,6 cm
stimoli/01.full/M02-Surprise-Face Forward.wmv;surprised;full;maschio;3;6;720;576;1,6 cm
stimoli/01.full/M03-Surprise-Face Forward.wmv;surprised;full;maschio;4;6;720;576;1,8 cm
stimoli/01.full/F01-Neutral-Face Forward.wmv;neutral;full;femmina;1;6;720;576;1,6 cm
stimoli/01.full/F03-Neutral-Face Forward.wmv;neutral;full;femmina;2;6;720;576;1,6 cm
stimoli/01.full/M02-Neutral-Face Forward.wmv;neutral;full;maschio;3;6;720;576;1,6 cm
stimoli/01.full/M03-Neutral-Face Forward.wmv;neutral;full;maschio;4;6;720;576;1,8 cm
