Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;Spreadsheet;Spreadsheet Name;Spreadsheet Row;Trial Number;Screen Number;Screen Name;Zone Name;Zone Type;Reaction Time;Reaction Onset;Response Type;Response;Attempt;Correct;Incorrect;Dishonest;X Coordinate;Y Coordinate;Timed Out;randomise_blocks;randomise_trials;display;face1;face2;ANSWER;blockNum;inclusionCheck;pairName;pairType;newBin
1;1651855118417;06/05/2022 16:38:38;1651855118322;2;06/05/2022 18:38:38;87583;1;task-mlua;;21720402;BLIND;6421728;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 101.0.1210.32;1280x720;1038x575;;OFMT full task;6;Spreadsheet1;;;BEGIN TASK;;;;;;;;;;0;1;0;;;;;;;;;;;;;;
2;1651855127230;06/05/2022 16:38:47;1651855127041;2;06/05/2022 18:38:47;87583;1;task-mlua;;21720402;BLIND;6421728;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 101.0.1210.32;1280x720;1280x609;;OFMT full task;6;Spreadsheet1;Spreadsheet1;1;1;1;Screen 1;advancementZone;continue_button;8599;;;;;0;1;0;;;;;;Instructions;;;;;;;;
3;1651855127543;06/05/2022 16:38:47;1651855127474;2;06/05/2022 18:38:47;87583;1;task-mlua;;21720402;BLIND;6421728;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 101.0.1210.32;1280x720;1280x609;;OFMT full task;6;Spreadsheet1;Spreadsheet1;28;1;1;Cross;fixation;fixation;449.4279999999999;;;;;0;1;0;;;;;1;FaceBlock;00727_941201_fb.png;00899_960530_fa.png;DIFFERENT PEOPLE;;attention;00727_941201_fb.png00899_960530_fa.png;diff;
4;1651855129168;06/05/2022 16:38:49;1651855129075;2;06/05/2022 18:38:49;87583;1;task-mlua;;21720402;BLIND;6421728;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 101.0.1210.32;1280x720;1280x609;;OFMT full task;6;Spreadsheet1;Spreadsheet1;28;1;2;TwoFaces;TIMER;timelimit_screen;1598.8849999999984;;;;;0;1;0;;;1;;1;FaceBlock;00727_941201_fb.png;00899_960530_fa.png;DIFFERENT PEOPLE;;attention;00727_941201_fb.png00899_960530_fa.png;diff;
5;1651855129246;06/05/2022 16:38:49;1651855129116;2;06/05/2022 18:38:49;87583;1;task-mlua;;21720402;BLIND;6421728;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 101.0.1210.32;1280x720;1280x609;;OFMT full task;6;Spreadsheet1;Spreadsheet1;28;1;3;SimilarityResponse;SimilaritySlider;response_slider_initialValue;0;;;50;;0;1;0;;;;;1;FaceBlock;00727_941201_fb.png;00899_960530_fa.png;DIFFERENT PEOPLE;;attention;00727_941201_fb.png00899_960530_fa.png;diff;
6;1651855139383;06/05/2022 16:38:59;1651855139199;2;06/05/2022 18:38:59;87583;1;task-mlua;;21720402;BLIND;6421728;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 101.0.1210.32;1280x720;1280x609;;OFMT full task;6;Spreadsheet1;Spreadsheet1;28;1;3;SimilarityResponse;SimilaritySlider;response_slider_endValue;10080.400000095367;;;1;;0;1;0;;;;;1;FaceBlock;00727_941201_fb.png;00899_960530_fa.png;DIFFERENT PEOPLE;;attention;00727_941201_fb.png00899_960530_fa.png;diff;
7;1651855139466;06/05/2022 16:38:59;1651855139204;2;06/05/2022 18:38:59;87583;1;task-mlua;;21720402;BLIND;6421728;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 101.0.1210.32;1280x720;1280x609;;OFMT full task;6;Spreadsheet1;Spreadsheet1;28;1;3;SimilarityResponse;Zone1;response_button_text;10080.400000095367;;;DIFFERENT PEOPLE;1;1;0;0;;;;;1;FaceBlock;00727_941201_fb.png;00899_960530_fa.png;DIFFERENT PEOPLE;;attention;00727_941201_fb.png00899_960530_fa.png;diff;
8;1651855139696;06/05/2022 16:38:59;1651855139630;2;06/05/2022 18:38:59;87583;1;task-mlua;;21720402;BLIND;6421728;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 101.0.1210.32;1280x720;1280x609;;OFMT full task;6;Spreadsheet1;Spreadsheet1;53;2;1;Cross;fixation;fixation;449.4300000000003;;;;;0;1;0;;;;;1;FaceBlock;F59_595.png;F59_597.png;SAME PERSON;;test;F59_595.pngF59_597.png;same;10
9;1651855141289;06/05/2022 16:39:01;1651855141228;2;06/05/2022 18:39:01;87583;1;task-mlua;;21720402;BLIND;6421728;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 101.0.1210.32;1280x720;1280x609;;OFMT full task;6;Spreadsheet1;Spreadsheet1;53;2;2;TwoFaces;TIMER;timelimit_screen;1598.6339999999982;;;;;0;1;0;;;1;;1;FaceBlock;F59_595.png;F59_597.png;SAME PERSON;;test;F59_595.pngF59_597.png;same;10
10;1651855141379;06/05/2022 16:39:01;1651855141250;2;06/05/2022 18:39:01;87583;1;task-mlua;;21720402;BLIND;6421728;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 101.0.1210.32;1280x720;1280x609;;OFMT full task;6;Spreadsheet1;Spreadsheet1;53;2;3;SimilarityResponse;SimilaritySlider;response_slider_initialValue;0;;;50;;0;1;0;;;;;1;FaceBlock;F59_595.png;F59_597.png;SAME PERSON;;test;F59_595.pngF59_597.png;same;10
